Mouse1,Mouse2,Interactions,TimeTogether
79FEADE,7A40088,606,62038.166666666664
79FEADE,79FEC60,739,18751.0
79FEADE,79FED08,481,59952.85
79FEADE,7A3A179,565,22424.716666666667
7A00464,79FEADE,488,37954.45
79FEADE,7A3931B,377,77532.43333333333
79FEADE,7A3C408,732,19928.366666666665
79FEADE,7A2EFA1,449,65741.31666666667
79FEADE,7A02701,531,21987.9
79FEADE,79FEEA8,435,18098.833333333332
79FC3C6,79FEADE,420,34679.6
79FEADE,7A3DC62,383,18885.25
79FEADE,79F8602,415,22849.1
79FEADE,7A3DD05,606,18960.916666666668
79FEADE,7A2E90C,386,16468.016666666666
79FEADE,7A3FDE2,493,40340.76666666667
79FEADE,7A3C016,378,14928.483333333334
79FEC60,7A40088,867,18906.55
7A40088,79FED08,667,62966.86666666667
7A3A179,7A40088,751,21683.333333333332
7A00464,7A40088,675,19210.55
7A3931B,7A40088,520,57188.61666666667
7A3C408,7A40088,912,19978.216666666667
7A2EFA1,7A40088,592,19327.033333333333
7A40088,7A02701,747,22604.783333333333
79FEEA8,7A40088,603,18955.15
79FC3C6,7A40088,563,14277.683333333332
7A3DC62,7A40088,508,16712.283333333333
7A40088,79F8602,583,20311.916666666668
7A40088,7A3DD05,767,17550.016666666666
7A2E90C,7A40088,533,15002.783333333333
7A3FDE2,7A40088,682,20525.166666666668
7A3C016,7A40088,514,35518.26666666667
79FEC60,79FED08,771,42173.683333333334
79FEC60,7A3A179,862,77744.15
7A00464,79FEC60,782,16555.133333333335
7A3931B,79FEC60,625,38687.75
7A3C408,79FEC60,978,57546.183333333334
79FEC60,7A2EFA1,676,16608.416666666668
79FEC60,7A02701,843,102830.63333333333
79FEEA8,79FEC60,744,41745.916666666664
79FC3C6,79FEC60,698,18914.566666666666
7A3DC62,79FEC60,671,16458.05
79FEC60,79F8602,697,81479.65
79FEC60,7A3DD05,893,16461.85
7A2E90C,79FEC60,642,82217.55
7A3FDE2,79FEC60,787,84839.9
79FEC60,7A3C016,655,38344.51666666667
7A3A179,79FED08,610,20919.333333333332
7A00464,79FED08,568,20228.35
7A3931B,79FED08,434,82526.35
7A3C408,79FED08,803,37256.35
7A2EFA1,79FED08,493,19131.7
79FED08,7A02701,601,44425.416666666664
79FEEA8,79FED08,512,63664.316666666666
79FC3C6,79FED08,482,17164.45
7A3DC62,79FED08,438,34942.183333333334
79FED08,79F8602,473,64240.416666666664
79FED08,7A3DD05,665,36244.71666666667
7A2E90C,79FED08,449,61520.25
7A3FDE2,79FED08,559,42818.083333333336
7A3C016,79FED08,421,40591.5
7A00464,7A3A179,654,23866.666666666668
7A3931B,7A3A179,486,18728.0
7A3C408,7A3A179,897,90710.6
7A3A179,7A2EFA1,555,20482.533333333333
7A3A179,7A02701,694,88290.88333333333
79FEEA8,7A3A179,573,24868.266666666666
79FC3C6,7A3A179,569,18713.05
7A3DC62,7A3A179,485,15338.55
7A3A179,79F8602,560,62397.5
7A3A179,7A3DD05,743,42516.933333333334
7A2E90C,7A3A179,489,60486.95
7A3FDE2,7A3A179,626,61231.0
7A3A179,7A3C016,480,19295.85
7A00464,7A3931B,446,40826.583333333336
7A00464,7A3C408,845,22064.85
7A00464,7A2EFA1,508,36681.066666666666
7A00464,7A02701,628,23851.383333333335
7A00464,79FEEA8,529,20794.25
79FC3C6,7A00464,481,101091.51666666666
7A00464,7A3DC62,444,80758.7
7A00464,79F8602,482,19196.2
7A00464,7A3DD05,696,58999.03333333333
7A00464,7A2E90C,464,17390.233333333334
7A00464,7A3FDE2,578,38299.333333333336
7A00464,7A3C016,448,59871.6
7A3C408,7A3931B,637,19034.016666666666
7A3931B,7A2EFA1,383,33999.65
7A3931B,7A02701,455,43407.95
7A3931B,79FEEA8,388,43407.95
79FC3C6,7A3931B,380,34220.5
7A3DC62,7A3931B,354,13211.766666666666
7A3931B,79F8602,375,43273.583333333336
7A3931B,7A3DD05,527,15499.25
7A3931B,7A2E90C,365,43641.95
7A3931B,7A3FDE2,443,60949.15
7A3931B,7A3C016,349,42781.61666666667
7A3C408,7A2EFA1,751,21027.183333333334
7A3C408,7A02701,948,68574.75
7A3C408,79FEEA8,766,40512.53333333333
79FC3C6,7A3C408,723,17349.516666666666
7A3DC62,7A3C408,646,34338.26666666667
7A3C408,79F8602,723,79503.06666666667
7A3C408,7A3DD05,912,62217.083333333336
7A3C408,7A2E90C,648,75718.73333333334
7A3C408,7A3FDE2,812,60325.1
7A3C408,7A3C016,640,20346.666666666668
7A2EFA1,7A02701,539,23525.216666666667
79FEEA8,7A2EFA1,432,58958.01666666667
79FC3C6,7A2EFA1,452,36421.21666666667
7A3DC62,7A2EFA1,371,18036.333333333332
7A2EFA1,79F8602,419,18677.05
7A2EFA1,7A3DD05,613,21366.133333333335
7A2E90C,7A2EFA1,380,15997.983333333334
7A3FDE2,7A2EFA1,481,37935.2
7A3C016,7A2EFA1,417,16030.533333333333
79FEEA8,7A02701,530,47542.25
79FC3C6,7A02701,500,17792.583333333332
7A3DC62,7A02701,467,14406.85
79F8602,7A02701,523,84787.35
7A3DD05,7A02701,747,19659.633333333335
7A2E90C,7A02701,454,81501.05
7A3FDE2,7A02701,612,88887.66666666667
7A3C016,7A02701,425,43240.55
79FC3C6,79FEEA8,435,19193.3
7A3DC62,79FEEA8,403,36485.683333333334
79FEEA8,79F8602,424,61500.85
79FEEA8,7A3DD05,643,37039.86666666667
79FEEA8,7A2E90C,425,60343.23333333333
79FEEA8,7A3FDE2,499,43116.15
79FEEA8,7A3C016,403,42720.78333333333
79FC3C6,7A3DC62,392,80811.78333333334
79FC3C6,79F8602,410,14192.35
79FC3C6,7A3DD05,591,58223.083333333336
79FC3C6,7A2E90C,387,19142.816666666666
79FC3C6,7A3FDE2,483,38195.416666666664
79FC3C6,7A3C016,392,58448.416666666664
7A3DC62,79F8602,373,37272.03333333333
7A3DC62,7A3DD05,506,76716.41666666667
7A3DC62,7A2E90C,347,34239.65
7A3DC62,7A3FDE2,440,14178.85
7A3DC62,7A3C016,354,55497.65
7A3DD05,79F8602,601,38417.65
7A2E90C,79F8602,381,102214.81666666667
7A3FDE2,79F8602,497,85080.48333333334
7A3C016,79F8602,373,40569.28333333333
7A2E90C,7A3DD05,532,35407.433333333334
7A3FDE2,7A3DD05,663,17233.95
7A3C016,7A3DD05,558,57075.816666666666
7A2E90C,7A3FDE2,449,84782.86666666667
7A2E90C,7A3C016,353,41953.833333333336
7A3FDE2,7A3C016,439,40533.0
