Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
10019987;11-06-2024;13:08:00;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10019988;11-06-2024;13:08:01;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10019989;11-06-2024;13:08:02;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10019990;11-06-2024;13:08:03;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10019991;11-06-2024;13:08:03;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10019992;11-06-2024;13:08:05;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10019993;11-06-2024;13:08:05;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10019994;11-06-2024;13:08:05;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10019995;11-06-2024;13:08:14;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10019996;11-06-2024;13:08:14;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10019997;11-06-2024;13:08:14;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10019998;11-06-2024;13:08:14;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10019999;11-06-2024;13:08:14;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020000;11-06-2024;13:08:14;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020001;11-06-2024;13:08:14;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020002;11-06-2024;13:08:15;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10020003;11-06-2024;13:08:16;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020004;11-06-2024;13:08:17;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10020005;11-06-2024;13:08:17;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020006;11-06-2024;13:08:17;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10020007;11-06-2024;13:08:17;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020008;11-06-2024;13:08:17;1;-;Trovan Unique;8000000000;-;00000000;00000000;-;""
10020009;11-06-2024;13:08:17;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020010;11-06-2024;13:08:26;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020011;11-06-2024;13:08:26;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020012;11-06-2024;13:08:26;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020013;11-06-2024;13:08:27;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020014;11-06-2024;13:08:27;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020015;11-06-2024;13:08:28;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020016;11-06-2024;13:08:28;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020017;11-06-2024;13:08:29;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020018;11-06-2024;13:08:29;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020019;11-06-2024;13:08:29;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020020;11-06-2024;13:08:29;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020021;11-06-2024;13:08:29;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020022;11-06-2024;13:08:29;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020023;11-06-2024;13:08:30;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020024;11-06-2024;13:08:30;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020025;11-06-2024;13:08:30;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020026;11-06-2024;13:08:31;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020027;11-06-2024;13:08:31;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020028;11-06-2024;13:08:34;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020029;11-06-2024;13:08:34;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020030;11-06-2024;13:08:34;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020031;11-06-2024;13:08:34;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020032;11-06-2024;13:08:34;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020033;11-06-2024;13:11:12;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020034;11-06-2024;13:29:29;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020035;11-06-2024;13:29:31;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020036;11-06-2024;13:29:31;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020037;11-06-2024;13:29:33;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020038;11-06-2024;13:29:33;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020039;11-06-2024;13:29:34;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020040;11-06-2024;13:29:35;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020041;11-06-2024;13:29:35;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020042;11-06-2024;13:29:35;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020043;11-06-2024;13:29:36;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020044;11-06-2024;13:29:36;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020045;11-06-2024;13:29:36;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020046;11-06-2024;13:29:36;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020047;11-06-2024;13:29:36;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020048;11-06-2024;13:29:36;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020049;11-06-2024;13:29:37;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020050;11-06-2024;13:29:37;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020051;11-06-2024;13:29:37;1;-;Trovan Unique;8000000002;-;00000000;00000000;-;""
10020052;11-06-2024;13:29:37;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020053;11-06-2024;13:29:37;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020054;11-06-2024;13:29:37;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020055;11-06-2024;13:29:37;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020056;11-06-2024;13:29:38;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
10020057;11-06-2024;13:29:38;1;-;Trovan Unique;8000000001;-;00000000;00000000;-;""
10020058;11-06-2024;13:29:38;1;-;Trovan Unique;8000000003;-;00000000;00000000;-;""
